Advertiser:,Twin Productions
Date Range:,2016-07-01 - 2016-07-31

Total Campaign Impressions:,142217
Total Campaign Interactions:,1007

Ad Name,Destination URL,Creative,Placement,Start Date,End Date,Impressions,Hovers,Clicks
"I Set my Friends on Fire, Alive / Alone, Roots Like Mountains",http://do210.com/events/5582548,http://res.cloudinary.com/dostuff-media/image/upload/v1467914150/advertisement-103274.jpg,Featured Event,2016-07-07,2016-07-18,26617,241,16
"Warren G with DJ  Donnie Dee, Apaso, Intre , Reason (from Lotus Tribe)",http://do210.com/events/5655999,http://res.cloudinary.com/dostuff-media/image/upload/v1467914122/advertisement-103273.jpg,Featured Event,2016-07-07,2016-07-12,13372,117,9
"Letlive, Seahaven, Silver Snakes, Night Verses",http://do210.com/events/5614534,http://res.cloudinary.com/dostuff-media/image/upload/v1464378926/advertisement-99776.jpg,Featured Event,2016-05-27,2016-06-21,10,0,0
Andrew McMahon In The Wilderness with The Black Market Club,http://do210.com/events/5404180,http://res.cloudinary.com/dostuff-media/image/upload/v1464727296/advertisement-99926.jpg,Featured Event,2016-05-31,2016-06-09,5,0,0
"Built to Spill, Whispering Wires, Lenguas Largas",http://do210.com/events/5465371,http://res.cloudinary.com/dostuff-media/image/upload/v1464298609/advertisement-99632.jpg,Featured Event,2016-05-26,2016-06-10,5,0,0
"Remember the Punks Music Festival ft. The Vandals, MXPX, The Exploited, Sick Of It All, TSOL & more",http://do210.com/events/5776014,http://res.cloudinary.com/dostuff-media/image/upload/v1464230871/event-5776014.jpg,Featured Venue,,2016-10-01,6902,32,5
"Eve 6 with The Taking, Fader Friend",http://do210.com/events/5481466,http://res.cloudinary.com/dostuff-media/image/upload/v1459461076/event-5481466.jpg,Featured Venue,,2016-08-19,6900,51,2
"Periphery, SikTH, Chon, Toothgrinder ",http://do210.com/events/5614537,http://res.cloudinary.com/dostuff-media/image/upload/v1461808567/event-5614537.jpg,Featured Venue,,2016-08-08,6899,56,7
"Bayside, The Menzingers, Sorority Noise",http://do210.com/events/5614539,http://res.cloudinary.com/dostuff-media/image/upload/v1461808119/event-5614539.jpg,Featured Venue,,2016-09-13,6893,38,3
"Sianvar, My Iron Lung, Save Us From The Archon",http://do210.com/events/6040118,http://res.cloudinary.com/dostuff-media/image/upload/v1467160983/event-6040118.jpg,Featured Venue,,2016-09-02,6892,44,0
"Yellowcard, Like Torches, Dryjacket",http://do210.com/events/6026787,http://res.cloudinary.com/dostuff-media/image/upload/v1467074809/event-6026787.jpg,Featured Venue,,2016-10-06,6890,22,1
"Finish Ticket, Run River North, Irontom",http://do210.com/events/5971936,http://res.cloudinary.com/dostuff-media/image/upload/v1466459286/event-5971936.jpg,Featured Venue,,2016-10-19,6881,22,0
DigiTour Summer 2016,http://do210.com/events/5595410,http://res.cloudinary.com/dostuff-media/image/upload/v1461876788/event-5595410.jpg,Featured Venue,,2016-07-27,6070,49,8
"Pennywise, Strung Out, Unwritten Law, Runaway Kids",http://do210.com/events/5970158,http://res.cloudinary.com/dostuff-media/image/upload/v1466456958/event-5970158.jpg,Featured Venue,,2016-11-03,5862,15,2
"I The Mighty, Dayshell, Artifex Pereo, Picturesque",http://do210.com/events/6082157,http://res.cloudinary.com/dostuff-media/image/upload/v1467833461/event-6082157.jpg,Featured Venue,,2016-10-08,5537,20,0
Missing Event,http://do210.com/events/5620576,,Featured Venue,,,4906,50,5
Beartooth,http://do210.com/events/6122381,http://res.cloudinary.com/dostuff-media/image/upload/v1468277722/event-6122381.jpg,Featured Venue,,2016-10-17,4444,14,0
Aaron Gillespie and Ace Enders with Vinnie Caruana,http://do210.com/events/6123512,http://res.cloudinary.com/dostuff-media/image/upload/v1468277524/event-6123512.jpg,Featured Venue,,2016-10-20,4436,13,2
"I Set my Friends on Fire, Alive / Alone, Roots Like Mountains",http://do210.com/events/5582548,http://res.cloudinary.com/dostuff-media/image/upload/v1461089556/event-5582548.jpg,Featured Venue,,2016-07-18,4102,31,0
Polyphia with special guests,http://do210.com/events/6137910,http://res.cloudinary.com/dostuff-media/image/upload/v1468531606/event-6137910.jpg,Featured Venue,,2016-10-21,4070,12,0
"Stick To Your Guns, Stray From The Path, Expire, Knocked Loose - Alamo City Music Hall",http://do210.com/events/6168787,http://res.cloudinary.com/dostuff-media/image/upload/v1468890597/event-6168787.jpg,Featured Venue,,2016-09-28,2833,24,1
"Warren G with DJ  Donnie Dee, Apaso, Intre , Reason (from Lotus Tribe)",http://do210.com/events/5655999,http://res.cloudinary.com/dostuff-media/image/upload/v1462414434/event-5655999.jpg,Featured Venue,,2016-07-12,2688,28,4
"Pierce The Veil, Neck Deep, I Prevail",http://do210.com/events/6175499,http://res.cloudinary.com/dostuff-media/image/upload/v1468978147/event-6175499.jpg,Featured Venue,,2016-10-11,2638,11,1
"Capsize, More To Monroe, Alive & Fighting, Crossways, Signalman",http://do210.com/events/5944327,http://res.cloudinary.com/dostuff-media/image/upload/v1466123551/event-5944327.jpg,Featured Venue,,2016-07-11,2493,24,2
SuicideGirls,http://do210.com/events/5636632,http://res.cloudinary.com/dostuff-media/image/upload/v1462481435/event-5636632.jpg,Featured Venue,,2017-04-28,1423,10,3
For Today: The Farewell Tour,http://do210.com/events/6082159,http://res.cloudinary.com/dostuff-media/image/upload/v1467833249/event-6082159.jpg,Featured Venue,,2016-11-19,1286,6,0
"RX Bandits ""...And The Battle Begun"" 10 Year Anniversary Tour with And So I Watch You From Afar",http://do210.com/events/6224110,http://res.cloudinary.com/dostuff-media/image/upload/v1469558331/event-6224110.jpg,Featured Venue,,2016-10-22,1162,6,0
"Tiger Army, The Bellfuries, The Pine Hill Haints",http://do210.com/events/5620575,http://res.cloudinary.com/dostuff-media/image/upload/v1461808946/event-5620575.jpg,Featured Venue,,2016-06-05,1,0,0
